,min,max,mean,med,std,label,Unnamed: 0,min,max,mean,med,std,label
62,-804.6385557020774,337.37450153511867,-60.61789318724114,187.1000137530027,464.31346003499766,N,62.0,0.7,1.0,0.85,0.85,0.2121320343559642,AF
63,-453.2827386303415,-300.7193577651728,-400.1589643996738,-432.6529770714845,61.97760743969579,AF,63.0,0.7,0.9,0.8,0.8,0.1414213562373095,AF
64,-231.87402076381824,-170.13429758800885,-210.3825931851308,-223.6581261974177,25.089115338771173,AF,64.0,0.8,0.9,0.8500000000000001,0.8500000000000001,0.0707106781186547,AF
65,-463.9812365031082,58.74173678679527,-123.4514646912047,-12.749335081902366,212.2305042964944,AF,65.0,-100.0,-100.0,-100.0,-100.0,-100.0,AF
66,-653.2425987439368,242.7556148179873,-69.51138121401439,124.00665853647467,364.2040820911346,N,66.0,-100.0,-100.0,-100.0,-100.0,-100.0,AF
67,-365.9611769800216,-257.8808716634599,-328.33034623288324,-351.35442019064027,43.90694679386652,AF,67.0,0.6,0.7,0.6499999999999999,0.6499999999999999,0.0707106781186547,AF
68,-187.92308957902688,-175.9513760165829,-183.76592692901417,-186.3602596700551,4.868882676822193,AF,68.0,-100.0,-100.0,-100.0,-100.0,-100.0,N
69,-467.8264520697544,76.36864034218752,-113.28662725756443,2.328548242160595,220.99299115170083,AF,69.0,0.2,0.516,0.358,0.358,0.223445742854949,PVC
70,-477.7241302536463,-99.50275163719024,-231.3263279645748,-147.82986188223353,153.93339014361868,AF,70.0,-100.0,-100.0,-100.0,-100.0,-100.0,AF
71,-306.92385007506283,-162.01605763042187,-256.44382106534334,-287.88903536046814,58.91665454711272,AF,71.0,0.6,0.7,0.6499999999999999,0.6499999999999999,0.0707106781186547,AF
72,-190.87534928271128,-98.80647219256224,-130.97665768488142,-112.0662218208098,37.30806395258504,AF,72.0,0.6,0.7,0.6499999999999999,0.6499999999999999,0.0707106781186547,AF
73,-569.9357131404705,134.60206110774516,-110.9330827308984,42.570522834428665,286.51835854760503,N,73.0,-100.0,-100.0,-100.0,-100.0,-100.0,AF
74,-337.8177736941487,-191.98728331128655,-286.9901046099695,-318.71540146517515,59.299292560391,AF,74.0,-100.0,-100.0,-100.0,-100.0,-100.0,AF
75,-407.7286455827065,-5.393123693944119,-145.61996629492916,-60.51691443684506,163.34377898150453,AF,75.0,0.798,0.802,0.8,0.8,0.0028284271247461,N
76,-250.38371369850253,-216.2302082733437,-238.5275201662033,-244.8241520090382,13.794829945610742,AF,76.0,0.6,1.0,0.8,0.8,0.282842712474619,AF
77,-293.53462853652337,-121.31457913624844,-181.33595451909295,-144.18400893747847,69.99532868331076,AF,77.0,0.7,0.8,0.75,0.75,0.0707106781186548,AF
78,-280.9491532871753,-106.40701091688447,-167.25673143800233,-129.67933153770423,70.93176750981456,AF,78.0,-100.0,-100.0,-100.0,-100.0,-100.0,AF
79,-291.42795550157587,-83.95950501770899,-156.27879847129327,-111.47603000702664,84.3288380410707,AF,79.0,-100.0,-100.0,-100.0,-100.0,-100.0,AF
80,-497.6202534456493,54.65175516558522,-137.80164130039594,-18.98617590048101,224.44053945354443,AF,80.0,0.144,0.296,0.2319999999999999,0.256,0.0787908624143688,PVC
81,-400.59940657952734,-173.3263892041999,-252.566134455769,-203.2121086968259,92.40256518427996,AF,81.0,0.7,0.8,0.75,0.75,0.0707106781186548,AF
82,-322.4387034206548,-194.6132487674219,-239.16787169447016,-211.57686603738125,51.9542218734002,AF,82.0,-100.0,-100.0,-100.0,-100.0,-100.0,AF
83,-347.9048893689258,-115.68260773764388,-196.5950343951061,-146.69820803408967,94.36498319410865,AF,83.0,0.6,0.8,0.7,0.7,0.1414213562373095,AF
84,-282.6503888605398,-140.80403204233892,-190.2540817277384,-159.66589286689268,57.65051283929918,AF,84.0,0.7,1.1,0.9,0.9,0.2828427124746191,AF
85,-280.8195441238023,-98.1186749617826,-161.8043923495778,-122.35038796255137,74.26152102877124,AF,85.0,-100.0,-100.0,-100.0,-100.0,-100.0,AF
86,-277.4044365258201,-93.21274948365246,-157.42760808891128,-117.50571109389458,74.88037981714932,AF,86.0,-100.0,-100.0,-100.0,-100.0,-100.0,AF
87,-278.3472327578902,-89.21000911092777,-155.12914858700185,-114.34304888870186,76.87164911203521,AF,87.0,0.5,0.9,0.7,0.7,0.282842712474619,AF
88,-463.9076046995214,2.2487183496718037,-160.21023509222638,-59.18678433226578,189.51636858154552,AF,88.0,0.7,0.7,0.7,0.7,0.0,AF
89,-359.66669073272124,-170.89939441651376,-236.72141394044044,-195.87628965846645,76.73107458474367,AF,89.0,0.7,0.8,0.75,0.75,0.0707106781186548,AF
90,-322.1997264284056,-149.47203798432815,-209.7044859985724,-172.36576910170615,70.20884382674423,AF,90.0,-100.0,-100.0,-100.0,-100.0,-100.0,AF
91,-337.06054701039994,-97.38765703015385,-180.8957536711664,-128.98615414838295,97.44073275419592,AF,91.0,0.06,0.276,0.1448,0.152,0.0890572849350349,PVC
92,-303.4882780367459,-125.70165928069012,-187.69745852429912,-149.30757258295563,72.2570468058177,AF,92.0,-100.0,-100.0,-100.0,-100.0,-100.0,AF
93,-287.413733323316,-111.66968873104494,-172.9506217007701,-134.99335486325216,71.42984010670519,AF,93.0,-100.0,-100.0,-100.0,-100.0,-100.0,AF
94,-297.3446032692468,-88.8199615537183,-161.49919400781462,-116.43713133112576,84.76142325099424,AF,94.0,-100.0,-100.0,-100.0,-100.0,-100.0,AF
95,-299.73913536828616,-84.46299251130044,-159.48975604681812,-113.01678321393172,87.50360091301606,AF,95.0,0.064,0.168,0.112,0.1079999999999999,0.0518459255872628,PVC
96,-388.1331385703624,-47.90665996217083,-166.50887749638306,-93.612647506955,138.22273426024907,AF,96.0,-100.0,-100.0,-100.0,-100.0,-100.0,AF
97,-407.1878615038354,-113.9939034362062,-216.19664188037615,-152.52871332202886,119.20652317999289,AF,97.0,-100.0,-100.0,-100.0,-100.0,-100.0,AF
98,-347.00074946222014,-155.27025437093184,-222.13003301537023,-180.62640467063136,77.93940591899191,AF,98.0,0.776,0.8,0.788,0.788,0.0103279555898864,PVC
99,-338.2906511202638,-141.47225964127324,-210.09087222822865,-167.37004374585229,80.01781778250508,AF,99.0,0.7,0.8,0.75,0.75,0.0707106781186548,AF
100,-297.549941949292,-139.60420512034108,-194.67010998232792,-160.48016115705929,64.20654815324697,AF,100.0,-100.0,-100.0,-100.0,-100.0,-100.0,AF
101,-285.5524059322438,-108.23951232992128,-170.042719157167,-131.84551122253404,72.06086296127555,AF,101.0,0.7,0.7,0.7,0.7,0.0,AF
102,-267.14303138727155,-106.8810334691228,-162.74480957115102,-128.09369406492686,65.14328292529369,AF,102.0,0.6,0.9,0.75,0.75,0.2121320343559642,AF
103,-322.4702460181672,-61.28037633402565,-152.33008061861833,-96.24631769296278,106.1274456914722,AF,103.0,-100.0,-100.0,-100.0,-100.0,-100.0,AF
104,-379.14072672850784,-65.69626379145821,-174.96517960793977,-106.73789354963893,127.46023983477852,AF,104.0,0.6,0.7,0.6499999999999999,0.6499999999999999,0.0707106781186547,AF
105,-319.05566259388365,-154.72197757525558,-212.0057845749716,-176.43256517891118,66.80240461480865,AF,105.0,-100.0,-100.0,-100.0,-100.0,-100.0,PVC
106,-303.5781603223339,-118.65431979891704,-183.13215375751912,-143.2319582074745,75.15851029582286,AF,106.0,0.7,0.8,0.75,0.75,0.0707106781186548,AF
107,-283.0081782790781,-120.79383992324688,-177.33278162512872,-142.42540124192567,65.92007991542613,AF,107.0,0.7,0.8,0.75,0.75,0.0707106781186548,AF
108,-276.6926047127544,-101.194740997423,-162.3761861868491,-124.40207920154012,71.33708887312307,AF,108.0,0.7,1.0,0.85,0.85,0.2121320343559642,AF
109,-293.6848163716716,-83.94271716801072,-157.03946254638169,-111.84325472542692,85.2411360002404,AF,109.0,0.6,0.9,0.75,0.75,0.2121320343559642,AF
110,-390.5401662035514,22.302495667089573,-121.616369470335,-33.76621777594196,167.65831429433987,AF,110.0,0.064,0.176,0.128,0.144,0.0530659966456863,PVC
111,-526.112584115234,-40.64861477242473,-209.84514324477692,-104.03328921635708,197.4282671485577,AF,111.0,0.336,0.816,0.632,0.672,0.1953048898517392,PVC
112,-331.11831058105645,-217.3439973060841,-291.4781071002912,-316.33568641562067,46.280571712254535,AF,112.0,-100.0,-100.0,-100.0,-100.0,-100.0,AF
113,-186.26194806364,-138.6676245647891,-155.25193680317122,-145.1028007996892,19.332365200802872,AF,113.0,0.6,0.9,0.75,0.75,0.2121320343559642,AF
114,-209.92070583330545,-63.09795180323229,-114.28525712042588,-82.7178602095312,59.66191323745765,AF,114.0,-100.0,-100.0,-100.0,-100.0,-100.0,AF
115,-559.9895490396389,160.57825234166634,-90.51092474821333,63.94236383844799,292.77452202494175,N,115.0,0.7,0.9,0.8,0.8,0.1414213562373095,AF
116,-437.1059068168496,-179.34051647748777,-269.1638961818656,-212.42339797491263,104.8911926208848,AF,116.0,-100.0,-100.0,-100.0,-100.0,-100.0,AF
117,-265.29414765497364,-218.66741348407828,-249.06122364316244,-259.3122704044064,18.98854781737085,AF,117.0,0.7,1.0,0.85,0.85,0.2121320343559642,AF
118,-221.4720104896648,-110.02786153329198,-148.8773238370299,-125.06080255650956,45.27139229621544,AF,118.0,-100.0,-100.0,-100.0,-100.0,-100.0,AF
119,-220.10528758667056,-76.75563742125665,-126.71850041199836,-95.74286093987376,58.26820628820772,AF,119.0,-100.0,-100.0,-100.0,-100.0,-100.0,AF
120,-614.6387208396267,194.862245027506,-87.25080488071352,87.02632634356091,328.98764996934494,N,120.0,0.7,0.8,0.75,0.75,0.0707106781186548,AF
121,-319.25297262027544,-137.98956964265977,-201.17822828274228,-162.03558984336115,73.67332818151908,AF,121.0,-100.0,-100.0,-100.0,-100.0,-100.0,AF
122,-296.5000518681562,-127.54952558667163,-186.4439596388114,-149.98374729633787,68.66738131142284,AF,122.0,-100.0,-100.0,-100.0,-100.0,-100.0,AF
123,-388.9156983253823,-36.300608182895054,-159.19537116290897,-83.45493417236395,143.28326496065532,AF,123.0,-100.0,-100.0,-100.0,-100.0,-100.0,AF
124,-344.5955241122516,-146.596730344724,-215.64236937017,-172.68706872753742,80.49122000159595,AF,124.0,0.8,1.4,1.0555555555555556,1.0,0.2297341458681703,PVC
125,-305.8606207751052,-150.07619349461348,-204.35681220330216,-170.69207958719107,63.32585057446335,AF,125.0,-100.0,-100.0,-100.0,-100.0,-100.0,AF
126,-322.80837820667176,-116.14434047843656,-188.20955449472427,-143.8740513348502,83.961060988778,AF,126.0,0.6,1.0,0.8,0.8,0.282842712474619,AF
127,-362.1032431941391,-79.89233901209302,-178.23473558844293,-116.78972147693544,114.76748901090906,AF,127.0,-100.0,-100.0,-100.0,-100.0,-100.0,AF
128,-311.06578785094763,-139.48272884136782,-199.29877406933343,-162.02137431400712,69.76412834455671,AF,128.0,-100.0,-100.0,-100.0,-100.0,-100.0,AF
129,-312.7636870414896,-115.63771093640364,-184.354342727798,-142.06409868305997,80.09122678631192,AF,129.0,0.6,1.5,0.8727272727272728,0.8,0.2649185123426035,PVC
130,-359.4562257111451,-65.94481549377178,-168.24580249042447,-104.25908400372772,119.37004409301254,AF,130.0,0.7,0.7,0.7,0.7,0.0,AF
131,-307.6205124630095,-137.5960654959257,-196.8767368893021,-160.10454350497287,69.11085746999933,AF,131.0,0.78,0.815,0.7975,0.7975,0.0247487373415291,N
132,-295.54832296056463,-121.33439562396488,-182.07795170720945,-144.52092017758972,70.80076544534303,AF,132.0,-100.0,-100.0,-100.0,-100.0,-100.0,AF
133,-294.67243157860383,-101.91346922300848,-169.09634648198465,-127.53051265767272,78.3431119083161,AF,133.0,-100.0,-100.0,-100.0,-100.0,-100.0,AF
134,-473.6599341915501,35.103757231549565,-142.1813386458727,-32.536461940656764,206.7799424110284,AF,134.0,0.7,0.8,0.75,0.75,0.0707106781186548,AF
135,-366.16770120733855,-181.0013805709384,-245.5623679949589,-205.39185675420552,75.27728261591291,AF,135.0,-100.0,-100.0,-100.0,-100.0,-100.0,AF
136,-310.56472549111146,-169.365436371685,-218.5918713488081,-188.14691282035167,57.38385708485606,AF,136.0,0.9,0.9,0.9,0.9,0.0,AF
137,-296.3799305007645,-124.36141457208012,-184.2978737329245,-147.05619961259725,69.9310133254878,AF,137.0,-100.0,-100.0,-100.0,-100.0,-100.0,AF
138,-283.9003572894296,-112.18856972878126,-172.05411938316257,-135.03700937418068,69.78294332293054,AF,138.0,0.6,0.7,0.6499999999999999,0.6499999999999999,0.0707106781186547,AF
139,-278.72783012397065,-102.37968664744128,-163.8557525941213,-125.68165922241924,71.68787965732348,AF,139.0,-100.0,-100.0,-100.0,-100.0,-100.0,AF
140,-283.76838987219213,-92.36429100232615,-159.07569938941734,-117.79754020937708,77.79238152748715,AF,140.0,-100.0,-100.0,-100.0,-100.0,-100.0,AF
141,-471.5785275522584,22.85283325398309,-149.45151753596062,-42.52714212510195,200.9875403232741,AF,141.0,0.7,0.7,0.7,0.7,0.0,AF
142,-356.08825951004206,-172.75932639529628,-236.66737395629173,-197.1253268733815,74.513042916177,AF,142.0,0.6,0.7,0.6499999999999999,0.6499999999999999,0.0707106781186547,AF
143,-295.7984820183282,-78.65714019702435,-154.34224128484524,-107.4648672057964,88.25888505143358,AF,143.0,0.7,1.0,0.85,0.85,0.2121320343559642,AF
144,-286.8515918742946,-91.82279985274906,-159.82949479295684,-117.69575374260016,79.26990903954272,AF,144.0,-100.0,-100.0,-100.0,-100.0,-100.0,AF
145,-334.9947014212408,-65.56959570416237,-159.5183399268491,-101.76262570488068,109.45771487657964,AF,145.0,0.8,0.8,0.8,0.8,0.0,AF
146,-445.3417743236316,-37.57867484426336,-179.66304919093875,-90.9245107605652,165.82132896657302,AF,146.0,-100.0,-100.0,-100.0,-100.0,-100.0,AF
147,-358.90530629473375,-161.32692388903808,-230.20319961577312,-187.48050349885293,80.31318301638538,AF,147.0,0.6,0.8,0.7,0.7,0.1414213562373095,AF
148,-308.207849966892,-149.25095573137776,-204.6502159016564,-170.3022825040015,64.61279653923822,AF,148.0,0.6,0.7,0.6499999999999999,0.6499999999999999,0.0707106781186547,AF
149,-281.2062399513993,-120.91779790663132,-176.8017213287589,-142.19089738295747,65.1495083082749,AF,149.0,-100.0,-100.0,-100.0,-100.0,-100.0,AF
150,-279.4817484570316,-101.3667174120447,-163.46026159995256,-124.95880768182651,72.39886324012991,AF,150.0,-100.0,-100.0,-100.0,-100.0,-100.0,AF
151,-300.0871168683908,-88.59277423643421,-162.32036123002524,-116.95849197323577,85.92812610500178,AF,151.0,-100.0,-100.0,-100.0,-100.0,-100.0,AF
152,-483.0979725785377,8.35128266381572,-162.9088532376019,-56.39324902774936,199.80087288465265,AF,152.0,-100.0,-100.0,-100.0,-100.0,-100.0,AF
153,-352.9490961207904,-178.31701646278736,-239.20579313720424,-201.4360557038908,70.9869526782567,AF,153.0,-100.0,-100.0,-100.0,-100.0,-100.0,AF
154,-286.5236372674026,-134.46841945762614,-187.4591555801714,-154.65446326475313,61.80143137437705,AF,154.0,-100.0,-100.0,-100.0,-100.0,-100.0,AF
155,-408.42926712333394,-3.503510938480225,-144.6492200509601,-56.80290011124056,164.63448895213267,AF,155.0,-100.0,-100.0,-100.0,-100.0,-100.0,AF
156,-313.911161414669,-163.47139665088258,-215.90408867717684,-183.4811881387316,61.140881198666456,AF,156.0,0.7,1.2,0.89,0.85,0.2078995483935024,PVC
157,-280.14401389615654,-123.8474225329339,-178.3177846510033,-144.5955292116744,63.52801110613986,AF,157.0,-100.0,-100.0,-100.0,-100.0,-100.0,AF
158,-394.9569875971727,-26.33909020078485,-154.8101882029001,-75.7189516263873,149.7756202744413,AF,158.0,-100.0,-100.0,-100.0,-100.0,-100.0,AF
159,-324.92336266947274,-160.3403202747943,-217.73013872407088,-181.89344532930232,66.92171651927487,AF,159.0,0.6,0.8,0.7,0.7,0.1414213562373095,AF
160,-297.40885565464765,-146.66308220032386,-199.23032555900957,-166.7166366579109,61.2628705041037,AF,160.0,0.75,0.799,0.7745,0.7745,0.0346482322781408,N
161,-304.89017471342186,-106.13466292532112,-175.4285021074319,-132.92607648051214,80.73929738934778,AF,161.0,-100.0,-100.0,-100.0,-100.0,-100.0,AF
162,-356.1326364985009,-84.88387069339677,-179.43389818626773,-120.35232080947712,110.30254285728606,AF,162.0,0.6,0.8,0.7,0.7,0.1414213562373095,AF
163,-294.17521505003333,-142.0759535808316,-195.1068547887224,-162.15769563234502,61.83242546821015,AF,163.0,0.816,0.932,0.874,0.874,0.0820243866176395,AF
164,-291.6437514654682,-109.8808037780224,-173.241833746289,-134.1788826714558,73.85795785623047,AF,164.0,0.076,0.304,0.1424,0.088,0.0972666438199653,PVC
165,-299.5670664992394,-92.74083776268556,-164.85110852350138,-120.32745510189498,84.04745688259858,AF,165.0,0.7,0.7,0.7,0.7,0.0,AF
166,-441.1659929663082,-9.265769431036109,-159.79914212819892,-65.73234020224821,175.63832924667568,AF,166.0,-100.0,-100.0,-100.0,-100.0,-100.0,AF
167,-360.1770409679024,-161.9943869945968,-231.084419854998,-188.21969253244228,80.55769274893605,AF,167.0,-100.0,-100.0,-100.0,-100.0,-100.0,AF
168,-328.6201990659458,-132.78541436949257,-201.07362375792408,-158.90732261280576,79.58467530718848,AF,168.0,0.7,0.8,0.75,0.75,0.0707106781186548,AF
169,-318.2810764349112,-117.33135838196604,-187.38080127130715,-143.8813026660816,81.68942050467066,AF,169.0,-100.0,-100.0,-100.0,-100.0,-100.0,AF
170,-301.1341746704002,-105.2531611617024,-173.54340348324908,-131.18582172884015,79.62351118150606,AF,170.0,0.6,1.0,0.8,0.8,0.282842712474619,AF
